Country Name,Country Code,Series Name,Series Code,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.1717073170732,68.8860975609756,68.4743902439024,66.8731707317073,64.9358536585366,64.4670731707317,64.6907317073171,65.8541463414634,66.6987804878049,67.029756097561,65.9821951219512,65.4836585365854,65.3834146341463,65.1287804878049,65.0275609756098,65.4709756097561,65.529756097561,66.7275609756098,67.5868292682927,67.9492682926829,68.6846341463415,68.8412195121951,69.6839024390244,70.0721951219512,70.5787804878049,70.7436585365854,71.1834146341463,71.6512195121951,72.4514634146342,72.6621951219512,73.0839024390244,71.3387804878049,69.900243902439,72.5456097560976,73.2546341463415
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,0.586603532881112,0.168017665366762,0.286681805330924,0.0969789790408762,-0.0534820276606834,-0.0342679070319955,-0.0216487632128753,-0.145451546598357,-0.165341653753189,-0.165486143348056,-0.309278191504336,-0.420614990249978,-0.424090524785415,-0.460024258081391,-0.453780668020263,-0.402681471328549,-0.381452794741516,-0.327445270108383,-0.17108203294568,-0.0439492591634852,0.030107060167659,0.0448964884428055,0.118045544446964,0.251575708072649,0.297503474179596,0.299667432459938,0.279352077762368,0.258751057379474,0.191382528772924,0.0721356165400605,0.037947213753429,-0.143202031827637,-0.343724409889771,-0.352843110363082,-0.285217600763343
Russian Federation,RUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,2.93979001045227,3.10601997375488,3.83502006530762,3.67853999137878,3.54786992073059,3.77192997932434,3.86626005172729,..,4.10174989700317,4.47064161300659,3.8476243019104,3.71261262893677,3.79310011863708,3.76382994651794,4.01387977600098,3.83402991294861,3.76044011116028,4.68990993499756,4.67819976806641,3.69561433792114,4.01641845703125,3.99480700492859,4.05402755737305,..
Russian Federation,RUS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,48102720000,60885170000,67652640000,71787980000,57539370000,37262370000,42130790000,51317150000,58418310000,73213780000,94244360000,123839020000,163187280000,223083530000,288672590000,183924120000,245679710000,318554760000,335771210000,341269230000,307875430000,193021130000,191494320000,238383890000,248856860000,253876740000,240088600000,301046910000,276509880767.412,302865156693.741
Russian Federation,RUS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..,-29.9760484684222,-28.6764689108002,2.11254541928012,12.5707620029162,11.5375436638531,3.6145101855513,-0.500155220499337,1.89974346482541,11.1995645373788,9.49947989850466,4.20031107088275,10.3000455800431,12.5997714835962,11.8001381780164,6.5000353992166,7.30004654255644,6.29981580666259,0.599852686170379,-4.70015012476462,7.00025425199931,0.300123459762602,1.36042166380135,4.56172779947288,0.510432046002023,3.67326230339928,3.16885489636786,5.01364318112,5.5542171784525,0.732544576447339,-4.17037731724965,3.28049543500286,-13.8867776512648,..
Russian Federation,RUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.7,11.2,11.4,12.2,14.5,15.7,15,14.2,13.8,13.5,14.6,15.3,15.6,16.2,16.4,15.9,16.1,15.1,14.6,14.5,14.1,14.2,13.5,13.3,13,13.1,13,12.9,12.4,12.5,12.3,14.6,16.7,12.9,12.1
Russian Federation,RUS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.2599983215332,..,..,..,..,..,..,..,..,..,..,41.2200012207031,..,..
Russian Federation,RUS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.9799995422363,..,..,..,..,..,..,..,..,..,..,42.8300018310547,..,..
Russian Federation,RUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.19003040640838,6.97848830225968,9.68372100443805,9.42324237619253,8.42178106569456,9.08148979631111,10.6336135964435,12.1254086015011,15.992066533226,15.7901190501232,12.3246991949294,11.3552822642706,12.9053155381414,9.19363897787208,9.72984772707015,..,..
Russian Federation,RUS,Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,..,33.6386982682712,33.6386982682712,33.7366123834805,33.6383220217275,35.2582136039385,29.1914570750323,32.8315350098439,30.9028171620629,30.9263827315957,32.2327607613623,32.6534681413884,32.2397550533316,23.0417450268127,26.9837824271763,24.8091854423925,22.4525135885425,21.8825580148952,22.4232638356417,24.5535973217297,23.1414627016776,25.0367582398118,24.7088822863521,26.5352626904543,24.6292653403208,25.5664329864047,28.5618310090306,28.2517611901484,32.2806034491621,29.58304543725,31.2369800992428,32.7576896797991,34.866895150744,34.8668951522736,..
Russian Federation,RUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,34671.81,33775.49,34621.11,32578.24,32706.64,36554.8,36335.6,34851.82,35079.43,34561.84,30269.91,30957.09,32732.4,33541.86,34294.25,36397.08,36531.93,38952.94,44778.75,51956.58,61137.3,68641.1,77629.6,90819.89,94909.93,100841.94,84251.73,..
